slug,name,country,kind,province,lat,lon,pop2024,pop,region,netmig_rate,income_class,rotation_deg,erank,erank_norm,erank_l1,k90,erank_unrotated,orient_entropy,orient_order,grid_share,straightness,block_m,intersection_km2,four_way_share,deadend_share,street_km,n_ways,flag
w-de-essen,Essen,Germany,world,,51.45657,7.01228,,593085,Europe,,,75.5,100.1,250.1,751.5,434,109.7,3.547,0.033,0.305,0.966,312.0,105.6,0.274,0.123,385.2,7426,
w-eg-al-mahallah-al-kubra,Al Mahallah al Kubra,Egypt,world,,30.97063,31.1669,,592573,Africa,,,19.5,42.3,178.1,706.6,379,50.6,3.348,0.203,0.454,0.958,278.0,256.6,0.162,0.112,575.6,4849,
w-es-malaga,Malaga,Spain,world,,36.72016,-4.42034,,592346,Europe,,,5.5,78.6,209.9,719.3,409,81.5,3.558,0.023,0.272,0.954,385.0,139.7,0.227,0.107,391.6,7191,
w-mx-reynosa,Reynosa,Mexico,world,,26.08005,-98.28456,,589466,North America,,,7.5,50.2,105.0,692.8,364,92.3,3.233,0.294,0.599,0.98,102.0,120.6,0.432,0.059,464.4,2939,
w-de-dortmund,Dortmund,Germany,world,,51.51494,7.466,,588462,Europe,,,83.5,91.7,183.0,705.9,381,103.4,3.427,0.137,0.504,0.979,238.0,71.9,0.289,0.111,294.6,5549,
w-us-baltimore,Baltimore,United States,world,,39.29038,-76.61219,,585708,North America,,,87.5,34.2,88.3,634.3,306,85.8,2.885,0.535,0.637,0.989,125.0,92.4,0.536,0.096,423.2,5948,
w-br-londrina,Londrina,Brazil,world,,-23.31028,-51.16278,,581382,South America,,,0.5,52.9,102.1,680.1,349,40.0,3.336,0.212,0.614,0.982,132.0,111.5,0.313,0.031,446.2,4095,
w-co-bucaramanga,Bucaramanga,Colombia,world,,7.125,-73.11895,,581130,South America,,,79.5,57.2,102.3,680.7,351,93.2,3.475,0.096,0.449,0.974,94.0,100.0,0.467,0.078,373.6,3422,
w-it-genoa,Genoa,Italy,world,,44.40478,8.94439,,580097,Europe,,,18.5,63.0,162.6,597.6,356,85.6,3.551,0.029,0.326,0.83,357.0,105.8,0.196,0.277,372.9,5688,
w-eg-tanta,Tanta,Egypt,world,,30.78847,31.00192,,576648,Africa,,,88.5,39.7,166.3,707.0,376,40.5,3.354,0.198,0.554,0.975,357.0,271.6,0.222,0.136,623.1,5809,
w-ru-tomsk,Tomsk,Russia,world,,56.50049,84.98216,,574002,Europe,,,0.5,110.3,151.7,709.2,388,121.3,3.407,0.155,0.486,0.966,200.0,38.2,0.294,0.237,222.4,2231,
w-ke-nakuru,Nakuru,Kenya,world,,-0.30719,36.07225,,570674,Africa,,,16.5,107.0,140.8,639.8,357,120.9,3.272,0.263,0.353,0.936,85.0,49.4,0.166,0.128,220.5,1355,
w-ca-hamilton,Hamilton,Canada,world,,43.25011,-79.84963,,569353,North America,,,17.5,30.2,54.1,470.5,148,152.8,2.224,0.855,0.904,0.991,111.0,63.6,0.4,0.081,330.2,3631,
w-gb-manchester,Manchester,United Kingdom,world,,53.48095,-2.23743,,568996,Europe,,,0.5,85.2,277.2,775.1,462,85.2,3.562,0.019,0.179,0.954,294.0,175.4,0.249,0.247,490.8,9416,
w-ca-surrey,Surrey,Canada,world,,49.10635,-122.82509,,568322,North America,,,0.5,37.8,65.1,499.5,194,32.1,2.712,0.636,0.813,0.982,102.0,26.4,0.218,0.265,176.1,2313,norm_short
w-ma-meknes,Meknes,Morocco,world,,33.89352,-5.54727,,568295,Africa,,,37.5,112.5,258.1,753.6,437,124.9,3.536,0.043,0.299,0.942,312.0,124.0,0.163,0.086,337.2,4886,
w-cl-puente-alto,Puente Alto,Chile,world,,-33.61169,-70.57577,,568106,South America,,,81.5,41.1,113.6,609.6,269,68.1,2.733,0.624,0.823,0.982,nan,181.6,0.191,0.122,493.7,8213,
w-sd-nyala,Nyala,Sudan,world,,12.04888,24.88069,,565734,Africa,,,68.5,68.5,199.9,720.2,396,61.1,3.254,0.277,0.329,0.979,60.0,146.7,0.513,0.027,476.6,3635,
w-de-dresden,Dresden,Germany,world,,51.05089,13.73832,,564904,Europe,,,32.5,121.7,236.6,758.2,443,157.1,3.523,0.054,0.307,0.986,238.0,66.9,0.325,0.158,294.9,7165,
w-ru-orenburg,Orenburg,Russia,world,,51.76712,55.09883,,564773,Europe,,,89.5,175.3,240.0,732.4,432,165.4,3.473,0.098,0.189,0.98,116.0,38.9,0.335,0.123,219.2,1536,
w-us-albuquerque,Albuquerque,United States,world,,35.08449,-106.65114,,564559,North America,,,8.5,53.6,112.7,650.6,316,100.5,2.985,0.471,0.702,0.984,109.0,59.0,0.469,0.13,333.6,3234,
w-er-asmara,Asmara,Eritrea,world,,15.33805,38.93184,,563930,Africa,,,2.5,82.0,246.7,756.5,440,86.4,3.503,0.072,0.358,0.939,312.0,163.2,0.316,0.046,474.4,3528,
w-us-milwaukee,Milwaukee,United States,world,,43.0389,-87.90647,,563531,North America,,,0.5,25.1,59.4,563.3,236,30.2,2.667,0.66,0.733,0.988,104.0,56.2,0.509,0.063,300.8,4999,
w-ng-ile-ife,Ile-Ife,Nigeria,world,,7.4824,4.56032,,560000,Africa,,,49.5,186.5,302.8,780.5,468,186.0,3.582,0.002,0.246,0.916,nan,63.6,0.119,0.172,298.3,2959,
w-ng-gombe,Gombe,Nigeria,world,,10.28969,11.16729,,560000,Africa,,,84.5,86.8,220.7,733.4,408,86.8,3.303,0.239,0.526,0.95,385.0,134.0,0.249,0.156,439.5,6403,
w-ru-kemerovo,Kemerovo,Russia,world,,55.35417,86.10435,,558973,Europe,,,89.5,48.2,66.6,619.5,307,74.2,3.33,0.218,0.551,0.978,nan,17.9,0.393,0.167,163.8,1338,norm_short
w-za-bloemfontein,Bloemfontein,South Africa,world,,-29.12107,26.214,,556637,Africa,,,13.5,68.6,127.8,690.8,371,169.3,3.469,0.102,0.427,0.943,nan,69.4,0.269,0.063,296.7,3242,
w-gb-sheffield,Sheffield,United Kingdom,world,,53.38297,-1.4659,,556500,Europe,,,42.5,116.4,272.7,766.7,451,123.9,3.57,0.012,0.27,0.952,357.0,120.0,0.152,0.234,385.5,7184,
w-cu-santiago-de-cuba,Santiago de Cuba,Cuba,world,,20.02287,-75.82171,,555865,North America,,,1.5,99.6,208.2,747.4,429,101.4,3.527,0.051,0.355,0.965,nan,93.7,0.443,0.08,362.1,2314,
w-mx-cuautitlan-izcalli,Cuautitlan Izcalli,Mexico,world,,19.64388,-99.21598,,555163,North America,,,81.5,60.2,174.3,726.3,403,83.4,3.51,0.066,0.423,0.965,nan,153.9,0.133,0.213,481.6,6452,
w-ao-benguela,Benguela,Angola,world,,-12.57674,13.40268,,555124,Africa,,,40.5,108.2,156.4,521.2,312,149.9,3.327,0.22,0.42,0.959,294.0,47.4,0.181,0.097,202.8,1491,
w-ao-cabinda,Cabinda,Angola,world,,-5.56198,12.19476,,550000,Africa,,,72.5,155.9,182.4,638.0,372,177.5,3.548,0.032,0.324,0.923,172.0,33.8,0.135,0.233,169.3,1249,norm_short
w-xk-pristina,Pristina,Kosovo,world,,42.67272,21.16688,,550000,Europe,,,11.5,136.8,258.2,753.4,439,142.0,3.563,0.019,0.226,0.943,192.0,70.8,0.109,0.305,299.5,2922,
w-br-porto-velho,Porto Velho,Brazil,world,,-8.76194,-63.90389,,548952,South America,,,77.5,24.9,31.9,526.4,208,130.1,2.996,0.464,0.753,0.982,122.0,51.7,0.428,0.101,261.8,1765,
w-ar-san-miguel-de-tucuman,San Miguel de Tucuman,Argentina,world,,-26.81601,-65.21051,,548866,South America,,,12.5,31.9,58.2,429.8,119,124.5,2.186,0.868,0.945,0.994,156.0,77.2,0.569,0.027,384.1,2943,
w-ua-sevastopol,Sevastopol,Ukraine,world,,44.60795,33.52134,,547820,Europe,,,35.5,116.4,140.0,711.8,400,166.2,3.523,0.055,0.231,0.942,65.0,31.6,0.25,0.197,188.1,1721,norm_short
w-de-bremen,Bremen,Germany,world,,53.07582,8.80717,,546501,Europe,,,43.5,99.3,197.6,722.7,400,157.8,3.479,0.093,0.405,0.976,nan,79.1,0.286,0.07,338.8,5473,
w-ng-owerri,Owerri,Nigeria,world,,5.48363,7.03325,,545000,Africa,,,67.5,106.6,174.6,731.7,411,173.6,3.45,0.118,0.417,0.932,172.0,58.5,0.184,0.121,301.8,2041,
w-us-tucson,Tucson,United States,world,,32.22174,-110.92648,,542629,North America,,,89.5,25.2,42.2,478.0,152,25.3,2.618,0.686,0.857,0.985,135.0,63.5,0.415,0.074,334.0,3000,
w-lt-vilnius,Vilnius,Lithuania,world,,54.68916,25.2798,,542366,Europe,,,16.5,182.7,263.3,767.6,454,189.7,3.543,0.037,0.284,0.973,nan,42.3,0.182,0.106,248.7,3324,
w-us-fresno,Fresno,United States,world,,36.74773,-119.77237,,542107,North America,,,89.5,33.1,52.6,541.7,225,16.4,2.753,0.613,0.753,0.987,102.0,64.9,0.514,0.073,405.9,3276,
w-tz-mbeya,Mbeya,Tanzania,world,,-8.9,33.45,,541603,Africa,,,89.5,147.9,254.0,754.5,438,147.4,3.556,0.025,0.305,0.894,nan,73.1,0.097,0.188,291.0,2289,
w-br-juiz-de-fora,Juiz de Fora,Brazil,world,,-21.76417,-43.35028,,540756,South America,,,76.5,93.4,210.5,761.1,444,145.1,3.557,0.024,0.309,0.919,nan,83.1,0.168,0.142,355.7,3750,
w-ng-calabar,Calabar,Nigeria,world,,4.95893,8.32695,,540000,Africa,,,30.5,131.1,213.0,652.7,388,177.1,3.542,0.038,0.331,0.94,nan,54.0,0.105,0.212,241.0,1920,
w-ma-oujda,Oujda,Morocco,world,,34.68139,-1.90858,,539711,Africa,,,85.5,63.7,286.6,771.3,456,66.3,3.568,0.014,0.282,0.979,357.0,257.0,0.199,0.077,612.8,8806,
w-ru-novokuznetsk,Novokuznetsk,Russia,world,,53.75752,87.13599,,539616,Europe,,,45.5,91.4,106.4,680.1,366,143.4,3.378,0.178,0.47,0.95,357.0,23.2,0.202,0.133,144.5,1147,norm_short
w-ru-ryazan,Ryazan',Russia,world,,54.62696,39.70415,,538962,Europe,,,46.5,97.1,128.0,699.9,383,232.5,3.446,0.122,0.444,0.965,nan,18.3,0.276,0.197,143.4,1271,norm_short
w-gb-leeds,Leeds,United Kingdom,world,,53.79648,-1.54785,,536280,Europe,,,10.5,89.2,261.2,764.7,449,93.5,3.577,0.006,0.309,0.965,357.0,161.4,0.176,0.254,471.4,7549,
w-pl-poznan,Poznan,Poland,world,,52.40692,16.92993,,536151,Europe,,,13.5,142.6,244.1,737.9,419,172.4,3.508,0.067,0.382,0.973,217.0,63.0,0.257,0.158,276.4,6057,
w-ng-ebute-ikorodu,Ebute Ikorodu,Nigeria,world,,6.60086,3.48818,,535619,Africa,,,0.5,153.0,222.1,665.1,373,152.3,3.53,0.048,0.327,0.927,82.0,41.0,0.115,0.277,195.2,1840,norm_short
w-br-ananindeua,Ananindeua,Brazil,world,,-1.36556,-48.37222,,535547,South America,,,89.5,95.2,148.2,715.2,390,105.5,3.341,0.209,0.516,0.978,294.0,75.6,0.212,0.211,328.7,3203,
w-ru-astrakhan,Astrakhan,Russia,world,,46.34968,48.04076,,533925,Europe,,,83.5,82.0,182.1,711.6,391,159.6,3.46,0.109,0.402,0.982,71.0,40.7,0.331,0.09,234.3,1833,
w-ca-quebec,Quebec,Canada,world,,46.81228,-71.21454,,531902,North America,,,57.5,85.3,155.1,706.6,383,138.2,3.119,0.378,0.526,0.974,nan,62.2,0.42,0.059,264.0,3085,
w-co-ibague,Ibague,Colombia,world,,4.43573,-75.20289,,529635,South America,,,75.5,68.6,186.7,706.8,382,78.8,3.451,0.117,0.352,0.959,nan,109.4,0.234,0.167,344.5,4000,
w-be-antwerp,Antwerp,Belgium,world,,51.22047,4.40026,,529247,Europe,,,0.5,87.0,204.5,695.2,385,87.8,3.56,0.021,0.34,0.974,312.0,102.5,0.297,0.105,360.1,6781,
w-eg-assiut,Assiut,Egypt,world,,27.18096,31.18368,,528669,Africa,,,59.5,56.2,186.9,678.1,358,80.5,3.447,0.121,0.524,0.95,278.0,196.7,0.107,0.241,443.2,4504,
w-br-aparecida-de-goiania,Aparecida de Goiania,Brazil,world,,-16.82333,-49.24389,,527796,South America,,,9.5,84.8,180.5,736.3,416,122.0,3.459,0.11,0.397,0.989,75.0,90.7,0.279,0.028,363.8,2263,
w-sv-san-salvador,San Salvador,El Salvador,world,,13.68935,-89.18718,,525990,North America,,,5.5,64.1,124.2,710.8,386,104.7,3.395,0.164,0.503,0.941,96.0,87.4,0.28,0.202,341.5,4943,
w-us-sacramento,Sacramento,United States,world,,38.58157,-121.4944,,524943,North America,,,18.5,24.6,61.1,551.0,236,114.4,3.184,0.33,0.715,0.977,125.0,70.3,0.618,0.066,343.1,4109,
w-ru-penza,Penza,Russia,world,,53.19568,45.01075,,523553,Europe,,,10.5,147.5,170.5,736.8,418,209.7,3.545,0.035,0.39,0.964,385.0,31.1,0.241,0.198,215.2,2029,
w-fr-lyon,Lyon,France,world,,45.74906,4.84789,,520774,Europe,,,82.5,64.4,203.5,751.6,433,85.3,3.458,0.111,0.339,0.981,81.0,120.7,0.428,0.073,457.3,7621,
w-ar-salta,Salta,Argentina,world,,-24.80645,-65.41999,,520683,South America,,,4.5,49.3,113.1,700.3,375,90.2,3.282,0.256,0.507,0.988,139.0,109.7,0.424,0.052,430.5,3718,
w-br-serra,Serra,Brazil,world,,-20.12861,-40.30778,,520653,South America,,,32.5,99.4,132.7,689.8,377,162.1,3.556,0.025,0.305,0.95,68.0,54.1,0.169,0.094,210.2,1801,
w-eg-al-fayyum,Al Fayyum,Egypt,world,,29.30995,30.8418,,519047,Africa,,,3.5,56.7,184.6,724.5,400,58.8,3.489,0.084,0.373,0.953,nan,217.6,0.133,0.134,472.5,4631,
w-mx-victoria-de-durango,Victoria de Durango,Mexico,world,,24.02032,-104.65756,,518709,North America,,,85.5,54.0,177.2,722.9,396,58.7,3.441,0.125,0.507,0.989,nan,194.2,0.405,0.087,611.5,5616,
w-de-nuremberg,Nuremberg,Germany,world,,49.45421,11.07752,,515543,Europe,,,89.5,113.0,247.0,756.2,439,113.5,3.551,0.029,0.322,0.973,nan,90.3,0.285,0.149,364.5,5801,
w-de-hannover,Hannover,Germany,world,,52.37052,9.73322,,515140,Europe,,,64.5,115.1,241.4,750.2,433,145.3,3.499,0.075,0.311,0.981,nan,73.6,0.312,0.118,315.8,4782,
