slug,name,country,kind,province,lat,lon,pop2024,pop,region,netmig_rate,income_class,rotation_deg,erank,erank_norm,erank_l1,k90,erank_unrotated,orient_entropy,orient_order,grid_share,straightness,block_m,intersection_km2,four_way_share,deadend_share,street_km,n_ways,flag
chicago,Chicago,United States,global,,41.878,-87.63,,2664452,North America,,,88.5,24.6,67.7,483.3,169,38.6,2.49,0.748,0.822,0.99,135.0,72.2,0.584,0.065,405.1,6139,
manhattan,Manhattan (New York),United States,global,,40.758,-73.985,,8804190,North America,,,29.5,19.4,46.3,433.0,129,114.6,2.804,0.584,0.876,0.994,81.0,70.3,0.755,0.034,384.3,6209,
philadelphia,Philadelphia,United States,global,,39.952,-75.165,,1573916,North America,,,9.5,14.6,49.5,541.6,189,69.3,2.739,0.621,0.839,0.993,143.0,138.6,0.48,0.032,548.7,6256,
washington-dc,"Washington, D.C.",United States,global,,38.905,-77.036,,689545,North America,,,0.5,41.1,96.2,644.8,307,18.5,3.227,0.298,0.662,0.986,85.0,84.6,0.448,0.044,397.1,7205,
savannah,Savannah,United States,global,,32.076,-81.093,,147780,North America,,,17.5,22.9,38.5,552.6,210,128.6,2.568,0.711,0.792,0.963,104.0,68.4,0.437,0.063,296.7,2219,
salt-lake-city,Salt Lake City,United States,global,,40.763,-111.888,,215548,North America,,,89.5,30.5,67.1,458.6,144,13.2,2.653,0.668,0.884,0.99,119.0,67.3,0.436,0.114,363.1,4534,
portland,Portland,United States,global,,45.52,-122.676,,652503,North America,,,0.5,36.8,98.4,647.2,312,37.8,3.101,0.391,0.607,0.972,79.0,104.1,0.53,0.085,485.6,6646,
phoenix,Phoenix,United States,global,,33.451,-112.073,,1650070,North America,,,0.5,32.7,48.4,397.6,110,20.3,2.531,0.729,0.938,0.993,200.0,59.2,0.456,0.063,353.9,3728,
houston,Houston,United States,global,,29.758,-95.365,,2314157,North America,,,89.5,59.6,161.1,716.8,400,70.3,3.084,0.403,0.323,0.99,78.0,92.7,0.529,0.07,493.5,5693,
boston,Boston,United States,global,,42.357,-71.059,,653833,North America,,,88.5,87.6,255.7,755.3,440,91.7,3.54,0.039,0.156,0.976,250.0,97.2,0.34,0.118,442.5,6911,
san-francisco,San Francisco,United States,global,,37.78,-122.417,,827526,North America,,,80.5,36.1,104.2,596.0,276,87.9,2.594,0.698,0.706,0.993,104.0,104.5,0.608,0.077,492.8,7154,
los-angeles,Los Angeles,United States,global,,34.048,-118.251,,3820914,North America,,,28.5,66.8,172.9,705.9,378,127.8,3.263,0.271,0.549,0.989,200.0,64.6,0.393,0.078,407.7,6761,
toronto,Toronto,Canada,global,,43.653,-79.383,,2794356,North America,,,73.5,28.7,66.9,498.6,185,130.4,2.472,0.756,0.81,0.987,106.0,63.9,0.435,0.081,337.9,4534,
mexico-city,Mexico City,Mexico,global,,19.433,-99.14,,12294193,North America,,,7.5,53.3,131.9,655.3,315,80.8,3.174,0.338,0.75,0.992,102.0,116.6,0.527,0.052,498.0,6713,
la-plata,La Plata,Argentina,global,,-34.921,-57.954,,262379,South America,,,42.5,21.3,35.3,493.9,116,149.1,2.028,0.915,0.861,0.996,139.0,88.7,0.762,0.007,426.8,3352,
buenos-aires,Buenos Aires,Argentina,global,,-34.606,-58.437,,2891082,South America,,,69.5,112.7,277.5,759.5,443,126.0,3.509,0.067,0.268,0.998,122.0,80.6,0.703,0.019,411.4,5426,
brasilia,Brasilia,Brazil,global,,-15.794,-47.882,,2207718,South America,,,17.5,91.0,168.3,679.9,364,132.3,3.471,0.1,0.31,0.936,385.0,81.7,0.085,0.158,299.7,4602,
sao-paulo,Sao Paulo,Brazil,global,,-23.55,-46.634,,12400232,South America,,,43.5,103.8,315.8,781.6,470,99.3,3.551,0.029,0.171,0.983,238.0,110.1,0.305,0.099,466.2,7809,
rio-de-janeiro,Rio de Janeiro,Brazil,global,,-22.906,-43.183,,6747815,South America,,,70.5,63.1,127.6,602.8,332,105.0,3.511,0.065,0.408,0.91,357.0,52.9,0.235,0.166,259.3,3193,
bogota,Bogota,Colombia,global,,4.601,-74.077,,7674366,South America,,,38.5,55.6,144.6,696.8,369,99.3,3.302,0.24,0.568,0.975,312.0,121.1,0.377,0.099,454.3,6401,
lima,Lima,Peru,global,,-12.046,-77.031,,7737002,South America,,,82.5,59.8,183.5,743.6,425,92.3,3.48,0.092,0.355,0.984,76.0,129.6,0.362,0.082,501.2,7745,
santiago,Santiago,Chile,global,,-33.437,-70.65,,4837295,South America,,,76.5,69.5,178.4,696.9,370,89.3,3.192,0.325,0.617,0.985,132.0,104.6,0.427,0.085,456.3,5643,
barcelona,Barcelona (Eixample),Spain,global,,41.393,2.164,,1686208,Europe,,,45.5,34.1,144.4,676.6,340,72.3,3.265,0.269,0.586,0.991,135.0,197.6,0.536,0.089,655.6,11739,
madrid,Madrid,Spain,global,,40.417,-3.703,,3255944,Europe,,,3.5,53.0,157.6,729.4,406,75.2,3.523,0.054,0.382,0.975,139.0,155.1,0.387,0.063,537.6,9818,
seville,Seville,Spain,global,,37.39,-5.994,,686741,Europe,,,5.5,72.3,247.8,733.5,424,78.7,3.552,0.028,0.352,0.969,208.0,181.5,0.235,0.087,501.8,8267,
lisbon,Lisbon,Portugal,global,,38.713,-9.139,,517802,Europe,,,55.5,70.9,198.5,597.5,363,77.5,3.557,0.024,0.227,0.953,312.0,111.5,0.302,0.128,333.5,6646,
paris,Paris,France,global,,48.857,2.347,,2138551,Europe,,,19.5,68.8,233.8,752.8,434,82.1,3.556,0.025,0.372,0.984,122.0,162.6,0.434,0.046,531.9,11371,
london,London,United Kingdom,global,,51.514,-0.106,,8961989,Europe,,,74.5,77.2,292.4,764.7,448,79.1,3.534,0.045,0.272,0.974,294.0,194.4,0.242,0.187,538.4,19345,
amsterdam,Amsterdam,Netherlands,global,,52.37,4.895,,741636,Europe,,,88.5,86.8,294.9,772.5,457,88.3,3.523,0.055,0.175,0.975,192.0,166.6,0.399,0.094,517.0,12228,
berlin,Berlin,Germany,global,,52.52,13.405,,3426354,Europe,,,29.5,140.7,295.4,764.9,450,160.6,3.538,0.041,0.319,0.991,nan,63.2,0.38,0.106,320.7,12322,
mannheim,Mannheim,Germany,global,,49.489,8.467,,307960,Europe,,,30.5,81.3,199.0,738.2,418,138.1,3.514,0.062,0.323,0.973,70.0,96.1,0.342,0.062,361.0,7171,
vienna,Vienna,Austria,global,,48.209,16.372,,1691468,Europe,,,51.5,106.0,311.8,771.3,458,109.0,3.554,0.027,0.241,0.99,nan,125.4,0.367,0.069,445.6,9962,
prague,Prague,Czechia,global,,50.087,14.42,,1165581,Europe,,,88.5,96.0,235.3,740.1,418,99.2,3.426,0.138,0.405,0.972,333.0,96.7,0.335,0.095,406.9,9145,
rome,Rome,Italy,global,,41.897,12.482,,2318895,Europe,,,47.5,88.7,285.8,766.5,451,86.9,3.551,0.029,0.241,0.96,nan,162.5,0.368,0.1,517.3,10255,
turin,Turin,Italy,global,,45.071,7.686,,847287,Europe,,,26.5,38.5,139.5,696.1,368,80.9,3.291,0.249,0.524,0.975,312.0,163.9,0.462,0.046,538.1,9482,
venice,Venice,Italy,global,,45.438,12.335,,147662,Europe,,,38.5,41.6,70.7,511.2,263,52.6,3.546,0.034,0.232,0.938,227.0,207.2,0.323,0.274,273.2,6310,
athens,Athens,Greece,global,,37.984,23.728,,664046,Europe,,,11.5,54.0,239.5,758.7,441,62.4,3.516,0.061,0.338,0.99,69.0,249.9,0.388,0.068,663.1,11908,
moscow,Moscow,Russia,global,,55.755,37.617,,10381222,Europe,,,39.5,174.3,332.4,781.6,471,153.1,3.573,0.01,0.189,0.986,357.0,56.9,0.195,0.038,315.6,6190,
st-petersburg,Saint Petersburg,Russia,global,,59.935,30.325,,5351935,Europe,,,1.5,98.5,187.6,747.3,432,131.2,3.522,0.055,0.256,0.991,nan,61.0,0.461,0.035,317.5,5139,
istanbul,Istanbul,Turkey,global,,41.013,28.955,,15701602,Asia,,,1.5,66.1,236.1,716.8,421,65.9,3.569,0.013,0.229,0.953,167.0,204.0,0.212,0.109,491.6,7073,
tehran,Tehran,Iran,global,,35.7,51.42,,7153309,Asia,,,87.5,67.3,231.5,735.8,414,67.3,3.295,0.245,0.367,0.986,135.0,208.7,0.145,0.33,549.1,11633,
tel-aviv,Tel Aviv,Israel,global,,32.08,34.78,,432892,Asia,,,13.5,66.7,184.3,606.6,353,77.4,3.422,0.141,0.421,0.978,71.0,115.0,0.331,0.083,402.4,5763,
dubai,Dubai (Deira),United Arab Emirates,global,,25.265,55.31,,3790000,Asia,,,28.5,84.8,215.6,746.1,429,114.8,3.528,0.05,0.298,0.936,278.0,129.6,0.106,0.04,418.8,5693,
cairo,Cairo,Egypt,global,,30.045,31.24,,9606916,Africa,,,14.5,48.3,239.9,746.3,423,51.3,3.497,0.077,0.37,0.954,357.0,316.4,0.139,0.253,644.8,11210,
tunis,Tunis (Medina),Tunisia,global,,36.798,10.171,,693210,Africa,,,82.5,58.1,158.3,733.1,412,77.7,3.503,0.072,0.318,0.944,238.0,175.0,0.175,0.144,465.9,5508,
fes,Fes (Medina),Morocco,global,,34.061,-4.978,,1191905,Africa,,,33.5,149.7,256.6,745.0,429,131.5,3.562,0.019,0.202,0.885,250.0,77.0,0.138,0.081,236.5,2613,
marrakesh,Marrakesh,Morocco,global,,31.629,-7.987,,995871,Africa,,,60.5,109.5,230.7,728.5,409,149.7,3.49,0.083,0.355,0.941,312.0,111.5,0.135,0.15,325.2,4643,
casablanca,Casablanca,Morocco,global,,33.595,-7.619,,3665954,Africa,,,53.5,92.0,263.6,724.1,418,79.2,3.547,0.033,0.219,0.988,385.0,141.8,0.257,0.04,404.4,5918,
lagos,Lagos,Nigeria,global,,6.455,3.39,,15388000,Africa,,,89.5,159.9,245.0,722.3,420,159.6,3.535,0.044,0.224,0.946,278.0,38.1,0.178,0.114,197.2,1673,norm_short
nairobi,Nairobi,Kenya,global,,-1.284,36.823,,4397073,Africa,,,63.5,88.3,216.3,742.9,425,147.5,3.545,0.035,0.335,0.946,nan,81.4,0.135,0.12,335.6,3862,
johannesburg,Johannesburg,South Africa,global,,-26.204,28.042,,9418183,Africa,,,82.5,44.6,104.5,664.8,329,84.1,3.269,0.266,0.638,0.974,82.0,78.4,0.459,0.053,367.7,3721,
delhi,Delhi,India,global,,28.644,77.216,,11034555,Asia,,,32.5,66.1,189.9,738.2,418,90.2,3.368,0.186,0.389,0.935,167.0,148.3,0.197,0.134,463.4,5327,
mumbai,Mumbai,India,global,,18.94,72.835,,12691836,Asia,,,13.5,68.9,118.5,523.0,297,76.4,3.507,0.068,0.306,0.95,333.0,74.6,0.238,0.124,239.3,3187,
chandigarh,Chandigarh,India,global,,30.741,76.782,,970602,Asia,,,54.5,33.2,63.5,503.4,166,130.1,2.485,0.75,0.906,0.969,217.0,125.0,0.124,0.119,444.2,4772,
islamabad,Islamabad,Pakistan,global,,33.71,73.055,,3357612,Asia,,,57.5,30.9,56.7,508.3,175,140.1,2.402,0.786,0.874,0.97,96.0,101.9,0.211,0.139,406.9,3103,
beijing,Beijing,China,global,,39.906,116.391,,18960744,Asia,,,88.5,45.1,74.7,497.7,180,58.5,2.403,0.786,0.9,0.965,167.0,81.8,0.614,0.069,302.9,3152,
shanghai,Shanghai,China,global,,31.23,121.47,,24874500,Asia,,,67.5,74.3,188.9,702.7,374,100.4,3.38,0.177,0.512,0.98,385.0,76.5,0.459,0.053,428.3,4162,
xian,Xi'an,China,global,,34.261,108.942,,9600000,Asia,,,89.5,23.5,48.6,411.7,116,19.3,2.669,0.659,0.939,0.968,278.0,59.0,0.402,0.082,368.1,2141,
kyoto,Kyoto,Japan,global,,35.011,135.768,,1463723,Asia,,,89.5,36.8,85.6,582.0,247,39.5,2.85,0.556,0.813,0.978,68.0,105.6,0.426,0.086,429.5,5371,
tokyo,Tokyo,Japan,global,,35.68,139.767,,9733276,Asia,,,86.5,59.3,299.7,774.9,461,58.9,3.522,0.055,0.167,0.978,263.0,208.0,0.435,0.04,665.8,9136,
osaka,Osaka,Japan,global,,34.686,135.51,,2753862,Asia,,,2.5,37.8,138.0,673.3,336,37.0,3.17,0.341,0.688,0.979,135.0,210.5,0.446,0.046,690.3,10557,
seoul,Seoul,South Korea,global,,37.57,126.98,,10349312,Asia,,,88.5,71.8,199.5,732.0,410,73.4,3.553,0.028,0.391,0.926,152.0,136.1,0.237,0.124,443.7,7037,
bangkok,Bangkok,Thailand,global,,13.75,100.516,,5104476,Asia,,,9.5,81.4,190.7,732.1,412,114.2,3.471,0.1,0.394,0.966,208.0,110.6,0.181,0.233,411.5,6831,
hanoi,Hanoi,Vietnam,global,,21.028,105.852,,8053663,Asia,,,0.5,138.7,247.3,764.4,450,143.3,3.554,0.027,0.232,0.968,294.0,72.6,0.29,0.176,302.1,4592,
singapore,Singapore,Singapore,global,,1.3,103.85,,5638700,Asia,,,39.5,94.7,232.9,740.8,420,126.8,3.55,0.03,0.391,0.971,200.0,96.3,0.35,0.1,379.5,13034,
jakarta,Jakarta,Indonesia,global,,-6.175,106.827,,8540121,Asia,,,87.5,63.8,228.2,728.5,402,67.2,3.365,0.189,0.486,0.969,172.0,186.6,0.12,0.099,526.9,13800,
manila,Manila (core),Philippines,global,,14.6,120.98,,3084270,Asia,,,46.5,66.7,191.5,741.4,427,87.5,3.442,0.124,0.283,0.988,81.0,126.2,0.376,0.088,458.7,6658,
sydney,Sydney,Australia,global,,-33.87,151.207,,5638830,Oceania,,,9.5,71.9,189.1,683.6,372,92.0,3.516,0.06,0.382,0.97,122.0,94.0,0.27,0.16,361.4,7198,
melbourne,Melbourne,Australia,global,,-37.814,144.963,,5435590,Oceania,,,7.5,38.5,144.1,685.1,361,73.9,3.188,0.327,0.474,0.987,nan,185.9,0.367,0.08,548.0,12475,
adelaide,Adelaide,Australia,global,,-34.926,138.6,,1469163,Oceania,,,86.5,27.4,72.9,621.9,283,99.4,2.877,0.539,0.638,0.978,78.0,85.4,0.244,0.117,325.0,5824,
canberra,Canberra,Australia,global,,-35.281,149.128,,367752,Oceania,,,7.5,73.3,108.3,719.7,398,170.4,3.459,0.11,0.317,0.951,128.0,56.3,0.289,0.059,235.7,4102,
w-cn-shenzhen,Shenzhen,China,world,,22.54554,114.0683,,17494398,Asia,,,89.5,33.3,89.8,593.4,253,43.4,3.162,0.347,0.702,0.96,238.0,70.3,0.254,0.071,368.2,3490,
w-cn-guangzhou,Guangzhou,China,world,,23.11667,113.25,,16096724,Asia,,,89.5,107.9,212.9,720.4,399,107.6,3.51,0.066,0.368,0.967,333.0,54.7,0.305,0.084,328.1,4425,
w-cd-kinshasa,Kinshasa,Democratic Republic of the Congo,world,,-4.32758,15.31357,,16000000,Africa,,,17.5,61.8,132.1,747.0,429,106.5,3.167,0.343,0.32,0.983,62.0,90.5,0.442,0.093,396.3,2633,
w-vn-ho-chi-minh-city,Ho Chi Minh City,Vietnam,world,,10.82302,106.62965,,14002598,Asia,,,11.5,130.4,269.2,747.7,433,135.7,3.502,0.073,0.304,0.966,200.0,83.9,0.162,0.292,326.5,5346,
w-cn-chengdu,Chengdu,China,world,,30.66667,104.06667,,13568357,Asia,,,28.5,68.0,147.1,699.1,373,123.3,3.352,0.199,0.546,0.972,312.0,52.5,0.327,0.066,326.8,2443,
w-pk-lahore,Lahore,Pakistan,world,,31.558,74.35071,,13004135,Asia,,,1.5,103.6,270.2,763.6,448,106.0,3.439,0.128,0.315,0.937,263.0,132.8,0.147,0.216,413.4,7404,
w-pk-karachi,Karachi,Pakistan,world,,24.8608,67.0104,,11624219,Asia,,,63.5,39.7,190.3,720.2,392,49.3,3.458,0.111,0.421,0.972,nan,286.6,0.208,0.108,629.6,6541,
w-cn-tianjin,Tianjin,China,world,,39.14222,117.17667,,11090314,Asia,,,0.5,89.2,205.2,732.7,414,91.6,3.497,0.077,0.369,0.943,263.0,84.5,0.455,0.058,413.4,3253,
w-cn-wuhan,Wuhan,China,world,,30.58333,114.26667,,10392693,Asia,,,27.5,148.7,318.6,774.3,463,133.4,3.554,0.027,0.179,0.96,312.0,58.7,0.242,0.093,317.4,1904,
w-bd-dhaka,Dhaka,Bangladesh,world,,23.7104,90.40744,,10356500,Asia,,,89.5,85.6,246.0,742.8,421,85.1,3.449,0.118,0.448,0.91,294.0,153.4,0.116,0.193,461.4,5852,
w-cn-dongguan,Dongguan,China,world,,23.01797,113.74866,,9644871,Asia,,,35.5,103.1,158.8,710.7,391,200.1,3.487,0.086,0.424,0.955,357.0,44.4,0.265,0.062,263.3,2329,
w-cn-nanjing,Nanjing,China,world,,32.06167,118.77778,,9314685,Asia,,,89.5,115.2,170.3,707.4,384,99.3,3.373,0.182,0.443,0.972,nan,28.6,0.285,0.073,217.8,1535,
w-cn-hangzhou,Hangzhou,China,world,,30.29365,120.16142,,9236032,Asia,,,86.5,104.1,202.4,715.5,392,114.8,3.225,0.299,0.464,0.964,385.0,46.0,0.328,0.118,331.6,3275,
w-cn-foshan,Foshan,China,world,,23.02677,113.13148,,9042509,Asia,,,89.5,53.4,95.5,633.5,300,59.3,2.989,0.468,0.68,0.96,385.0,63.2,0.214,0.076,313.2,2867,
w-in-bengaluru,Bengaluru,India,world,,12.97194,77.59369,,8495492,Asia,,,89.5,73.5,280.4,756.6,437,72.1,3.369,0.186,0.312,0.964,nan,199.3,0.195,0.133,511.5,9480,
w-tw-taipei,Taipei,Taiwan,world,,25.05306,121.52639,,7871900,Asia,,,1.5,37.5,97.2,633.1,297,49.2,3.302,0.24,0.638,0.991,238.0,104.2,0.444,0.084,495.6,6274,
w-cn-chongqing,Chongqing,China,world,,29.56026,106.55771,,7457599,Asia,,,89.5,104.7,223.4,718.0,399,102.2,3.543,0.037,0.321,0.88,238.0,42.3,0.278,0.093,317.8,2324,
w-hk-hong-kong,Hong Kong,Hong Kong,world,,22.27832,114.17469,,7396076,Asia,,,85.5,90.8,189.0,693.4,381,94.4,3.552,0.029,0.278,0.913,333.0,62.6,0.201,0.147,271.8,7632,
w-iq-baghdad,Baghdad,Iraq,world,,33.34058,44.40088,,7216000,Asia,,,43.5,66.0,166.5,666.3,346,136.5,3.125,0.374,0.565,0.958,76.0,104.0,0.173,0.068,417.1,3800,
w-cn-wuzhong,Wuzhong,China,world,,37.9867,106.201,,7202654,Asia,,,89.5,73.2,120.9,580.2,267,45.7,3.186,0.329,0.812,0.982,208.0,12.2,0.603,0.032,149.8,375,norm_short
w-cn-qingdao,Qingdao,China,world,,36.06488,120.38042,,7172451,Asia,,,89.5,109.1,184.6,685.6,392,104.9,3.506,0.069,0.294,0.943,238.0,49.6,0.288,0.106,260.8,1902,
w-cn-shenyang,Shenyang,China,world,,41.79222,123.43278,,7050000,Asia,,,1.5,83.7,158.1,705.1,381,87.8,3.418,0.145,0.474,0.963,333.0,47.4,0.405,0.048,321.9,1336,
w-in-hyderabad,Hyderabad,India,world,,17.38405,78.45636,,6993262,Asia,,,10.5,60.5,243.9,740.9,415,60.9,3.313,0.231,0.503,0.918,357.0,252.1,0.133,0.22,591.9,10504,
w-cn-suzhou,Suzhou,China,world,,31.30408,120.59538,,6715559,Asia,,,82.5,71.0,109.2,636.9,302,143.0,3.005,0.457,0.737,0.948,185.0,41.6,0.295,0.074,296.4,2902,
w-in-ahmedabad,Ahmedabad,India,world,,23.02579,72.58727,,6357693,Asia,,,0.5,89.8,219.2,726.1,404,89.8,3.466,0.104,0.454,0.915,333.0,120.5,0.149,0.176,408.1,5374,
w-ci-abidjan,Abidjan,Ivory Coast,world,,5.35444,-4.00167,,6321017,Africa,,,0.5,99.5,181.6,716.5,391,95.2,3.432,0.133,0.524,0.928,312.0,66.3,0.226,0.169,323.2,3683,
w-tz-dar-es-salaam,Dar es Salaam,Tanzania,world,,-6.82349,39.26951,,5383728,Africa,,,62.5,107.3,144.9,722.9,408,161.0,3.549,0.031,0.359,0.947,357.0,72.8,0.23,0.13,292.2,2671,
w-eg-alexandria,Alexandria,Egypt,world,,31.20176,29.91582,,5263542,Africa,,,64.5,42.0,152.0,610.0,334,67.6,3.36,0.193,0.5,0.973,333.0,253.6,0.234,0.083,517.2,4921,
w-cn-harbin,Harbin,China,world,,45.75,126.65,,5242897,Asia,,,26.5,96.7,243.1,755.3,439,122.7,3.453,0.115,0.191,0.967,250.0,71.0,0.423,0.032,413.2,2062,
w-cn-hefei,Hefei,China,world,,31.86389,117.28083,,5050000,Asia,,,88.5,77.6,141.5,700.1,375,87.5,3.35,0.201,0.502,0.965,217.0,50.3,0.354,0.101,334.3,1913,
w-cn-dalian,Dalian,China,world,,38.91222,121.60222,,4913879,Asia,,,89.5,89.2,183.8,743.3,424,87.3,3.489,0.084,0.349,0.955,294.0,68.3,0.408,0.071,350.5,2561,
w-ng-kano,Kano,Nigeria,world,,12.00012,8.51672,,4910000,Africa,,,0.5,95.9,272.9,761.0,445,95.0,3.524,0.053,0.281,0.958,238.0,138.5,0.138,0.072,453.5,5007,
w-za-cape-town,Cape Town,South Africa,world,,-33.92584,18.42322,,4772846,Africa,,,41.5,62.9,117.5,696.3,377,121.7,3.467,0.103,0.406,0.965,83.0,84.1,0.391,0.103,309.3,3650,
w-pk-peshawar,Peshawar,Pakistan,world,,34.008,71.57849,,4758762,Asia,,,86.5,73.6,214.9,760.9,444,78.1,3.552,0.029,0.331,0.932,333.0,177.0,0.148,0.187,520.0,5344,
w-cn-changchun,Changchun,China,world,,43.88,125.32278,,4714996,Asia,,,89.5,45.1,80.2,661.5,341,63.7,3.1,0.391,0.481,0.979,93.0,62.5,0.47,0.012,348.7,1281,
w-sa-jeddah,Jeddah,Saudi Arabia,world,,21.49012,39.18624,,4697000,Asia,,,86.5,82.5,195.7,705.5,378,99.3,3.355,0.197,0.462,0.881,385.0,55.0,0.214,0.041,307.9,1668,
w-in-chennai,Chennai,India,world,,13.08784,80.27847,,4681087,Asia,,,8.5,66.5,162.1,616.3,332,78.8,3.12,0.378,0.602,0.947,294.0,118.6,0.183,0.142,354.8,4779,
w-in-kolkata,Kolkata,India,world,,22.56263,88.36304,,4631392,Asia,,,14.5,90.1,173.6,686.4,356,111.5,3.198,0.32,0.659,0.937,nan,99.1,0.173,0.181,357.3,5400,
w-cn-xiamen,Xiamen,China,world,,24.47979,118.08187,,4617251,Asia,,,73.5,58.9,88.4,658.2,351,125.7,3.444,0.123,0.424,0.928,333.0,38.6,0.238,0.098,226.8,1327,
w-in-surat,Surat,India,world,,21.19594,72.83023,,4591246,Asia,,,81.5,62.6,229.6,736.2,412,65.9,3.349,0.202,0.44,0.938,357.0,199.6,0.145,0.185,544.7,8932,
w-mm-yangon,Yangon,Myanmar,world,,16.80528,96.15611,,4477638,Asia,,,1.5,110.5,241.5,750.5,433,115.2,3.422,0.142,0.338,0.951,312.0,107.3,0.161,0.25,361.0,6054,
w-cn-bao-an,Bao'an,China,world,,22.55213,113.88288,,4476554,Asia,,,47.5,47.2,77.2,638.7,314,117.5,3.155,0.352,0.563,0.975,238.0,63.5,0.267,0.049,334.0,2488,
w-af-kabul,Kabul,Afghanistan,world,,34.52813,69.17233,,4434550,Asia,,,34.5,126.9,222.8,750.7,435,150.9,3.418,0.145,0.364,0.944,nan,71.5,0.163,0.222,322.3,3606,
w-cn-wuxi,Wuxi,China,world,,31.56887,120.28857,,4396835,Asia,,,48.5,132.2,255.9,754.7,440,153.9,3.505,0.07,0.293,0.955,192.0,45.3,0.302,0.103,300.9,1863,
w-cn-jinan,Jinan,China,world,,36.66833,116.99722,,4335989,Asia,,,0.5,55.8,143.8,673.8,347,58.6,3.155,0.352,0.56,0.943,143.0,78.4,0.364,0.156,397.7,3285,
w-cn-taiyuan,Taiyuan,China,world,,37.86944,112.56028,,4303673,Asia,,,88.5,43.8,84.3,525.9,203,51.6,2.84,0.562,0.861,0.972,294.0,56.4,0.321,0.057,340.9,2067,
w-cn-zhengzhou,Zhengzhou,China,world,,34.75778,113.64861,,4253913,Asia,,,0.5,59.6,98.7,660.5,329,39.0,3.076,0.409,0.531,0.975,385.0,28.1,0.35,0.077,275.6,1029,
w-ml-bamako,Bamako,Mali,world,,12.60915,-7.97522,,4227569,Africa,,,89.5,51.9,135.4,677.6,365,51.8,3.353,0.199,0.512,0.979,62.0,147.4,0.236,0.072,461.5,5023,
w-sa-riyadh,Riyadh,Saudi Arabia,world,,24.68773,46.72185,,4205961,Asia,,,65.5,69.6,176.9,727.8,407,74.7,3.23,0.296,0.327,0.978,357.0,141.0,0.232,0.027,486.7,3777,
w-hk-new-territories,New Territories,Hong Kong,world,,22.42441,114.11095,,3984077,Asia,,,79.5,175.5,175.5,537.3,301,204.8,3.569,0.013,0.249,0.876,357.0,6.4,0.031,0.391,43.3,415,norm_short
w-cn-shijiazhuang,Shijiazhuang,China,world,,38.04139,114.47861,,3938513,Asia,,,89.5,43.5,64.2,522.2,202,41.2,2.681,0.653,0.805,0.959,294.0,30.7,0.43,0.079,256.2,886,
w-bd-chattogram,Chattogram,Bangladesh,world,,22.3384,91.83168,,3920222,Asia,,,0.5,98.0,219.2,723.8,401,98.6,3.415,0.147,0.433,0.903,nan,93.2,0.098,0.206,363.7,3813,
w-et-addis-ababa,Addis Ababa,Ethiopia,world,,9.02497,38.74689,,3860000,Africa,,,83.5,87.7,267.4,757.7,441,96.4,3.554,0.026,0.335,0.954,nan,133.6,0.241,0.149,438.6,6940,
w-cn-kunming,Kunming,China,world,,25.03889,102.71833,,3855346,Asia,,,89.5,80.1,190.9,716.8,394,80.0,3.49,0.083,0.466,0.954,167.0,57.6,0.259,0.142,372.8,3157,
w-cn-zhongshan,Zhongshan,China,world,,22.52306,113.37912,,3841873,Asia,,,0.5,79.6,191.1,733.0,410,82.0,3.473,0.098,0.434,0.908,119.0,104.6,0.248,0.08,420.5,3414,
w-cn-nanning,Nanning,China,world,,22.81667,108.31667,,3839800,Asia,,,89.5,117.7,199.5,747.2,435,112.9,3.482,0.091,0.277,0.959,333.0,30.4,0.332,0.056,247.5,1220,
w-cn-shantou,Shantou,China,world,,23.35489,116.67876,,3838900,Asia,,,89.5,67.9,94.3,594.0,307,62.4,3.424,0.14,0.513,0.954,nan,29.6,0.311,0.08,174.9,1069,norm_short
w-pk-faisalabad,Faisalabad,Pakistan,world,,31.41554,73.08969,,3800193,Asia,,,41.5,32.4,82.1,611.1,259,100.4,2.455,0.764,0.82,0.94,312.0,194.9,0.283,0.089,583.5,6268,
w-ae-dubai,Dubai,United Arab Emirates,world,,25.07725,55.30927,,3790000,Asia,,,57.5,106.0,160.2,659.6,354,181.9,3.365,0.189,0.415,0.82,357.0,45.3,0.045,0.093,203.7,1459,
w-jp-yokohama,Yokohama,Japan,world,,35.43333,139.65,,3777491,Asia,,,56.5,78.0,228.1,712.1,397,93.9,3.55,0.03,0.262,0.926,333.0,116.1,0.394,0.157,428.5,4233,
w-cn-fuzhou,Fuzhou,China,world,,26.06139,119.30611,,3740000,Asia,,,87.5,75.3,143.7,694.8,369,107.5,3.38,0.177,0.518,0.969,357.0,44.7,0.3,0.071,292.2,2249,
w-cn-ningbo,Ningbo,China,world,,29.87819,121.54945,,3731203,Asia,,,15.5,112.7,195.8,742.8,424,130.2,3.463,0.106,0.371,0.962,227.0,58.8,0.412,0.078,337.0,2312,
w-ng-ibadan,Ibadan,Nigeria,world,,7.37756,3.90591,,3649000,Africa,,,56.5,193.7,283.5,779.6,467,191.6,3.562,0.019,0.22,0.944,357.0,52.0,0.119,0.207,267.2,3219,
w-cn-puyang,Puyang,China,world,,29.45679,119.88872,,3590000,Asia,,,0.5,111.1,121.3,691.5,368,122.8,3.412,0.15,0.536,0.962,357.0,18.1,0.38,0.119,179.2,524,norm_short
